ID,spacegroup,number_of_total_atoms,percent_atom_al,percent_atom_ga,percent_atom_in,lattice_vector_1_ang,lattice_vector_2_ang,lattice_vector_3_ang,lattice_angle_alpha_degree,lattice_angle_beta_degree,lattice_angle_gamma_degree,formation_energy_ev_natom,bandgap_energy_ev
1835,167,30,0.6667,0,0.3333,5.0674,5.0672,13.6668,89.9903,90.0102,120.0016,,
1836,33,80,0.7812,0.1562,0.0625,9.9485,8.5414,9.1709,90.0043,90.0022,90.0013,,
1837,167,30,0.75,0.25,0,4.8741,4.8738,13.2515,89.9879,90.0131,120.0014,,
1838,12,20,0.625,0.375,0,12.1361,2.9957,5.7492,89.9994,103.8806,90.0002,,
1839,33,80,0.5938,0.1562,0.25,10.2442,8.7735,9.4015,90.0033,90.0014,90.0009,,
1840,12,80,0.25,0.2812,0.4688,24.5381,6.3603,6.3066,90,105.0163,90.0001,,
1841,206,80,0.3125,0.0625,0.625,9.8269,9.8266,9.8269,90.0011,90.0015,89.9989,,
1842,194,80,0.2812,0.3125,0.4062,6.5922,6.5919,24.4096,90.011,90.0041,119.992,,
1843,206,80,0.5625,0.4375,0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,,
1844,194,80,0.2812,0.0312,0.6875,6.8002,6.7997,24.7717,90.0182,90.0022,119.9888,,
1845,33,80,0.2188,0.125,0.6562,10.8701,9.2639,9.8893,90.0011,89.9985,90.0003,,
1846,206,80,0.125,0,0.875,10.1271,10.127,10.1273,90.0005,90.0007,89.9993,,
1847,33,80,0.5938,0.2188,0.1875,10.1748,8.7211,9.3485,90.0031,90.0016,90.001,,
1848,194,80,0,0.6875,0.3125,6.6154,6.6152,24.5008,89.9952,90.0023,119.99,,
1849,194,80,0.3438,0.3125,0.3438,6.5261,6.5257,24.2821,90.0123,90.0054,119.9935,,
1850,206,80,0.125,0.1562,0.7188,9.9886,9.9885,9.9886,90.0013,90.0014,89.9983,,
1851,194,80,0.75,0.125,0.125,6.2392,6.2388,23.6955,90.0132,90.0067,120.0015,,
1852,12,80,0.4062,0.5938,0,24.4994,6.0535,5.794,89.9996,103.8022,90.0002,,
1853,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
1854,167,30,0,0.1667,0.8333,5.4918,5.4913,14.56,89.9984,89.9993,120.001,,
1855,206,80,0.375,0,0.625,9.8007,9.8004,9.8007,90.0008,90.0014,89.9993,,
1856,33,80,0.75,0.0625,0.1875,10.1018,8.6588,9.2888,90.0046,90.0018,90.001,,
1857,194,80,0.375,0.2812,0.3438,6.5162,6.5158,24.2586,90.013,90.0061,119.9938,,
1858,227,40,0,0.3125,0.6875,10.9115,6.2611,15.6692,100.0943,98.579,30.3028,,
1859,206,80,0.9375,0.0625,0,9.0109,9.0101,9.0104,90.0026,90.0037,89.999,,
1860,227,40,0.75,0.25,0,9.7746,5.674,14.0033,91.0078,91.1683,30.5323,,
1861,33,40,0.0625,0.25,0.6875,5.4889,9.3524,9.9755,89.9996,89.9978,90.0001,,
1862,227,40,0.125,0.5625,0.3125,6.0892,6.0889,14.904,89.9892,90.009,119.9959,,
1863,206,80,0,0.2188,0.7812,10.0964,10.0964,10.0965,90.0015,90.0013,89.9979,,
1864,206,80,0,0.5312,0.4688,9.8193,9.8193,9.8191,90.0032,90.0028,89.9957,,
1865,194,80,0.5,0.125,0.375,6.5002,6.4999,24.2048,90.015,90.01,119.9947,,
1866,33,40,0.25,0.75,0,5.0638,8.7008,9.3206,89.9989,90.002,90.0019,,
1867,227,40,0.375,0.625,0,10.0809,5.7825,14.3189,94.6468,93.8361,30.105,,
1868,33,80,0.0625,0.125,0.8125,11.1165,9.4573,10.0815,90,89.9969,90.0002,,
1869,206,80,0.2812,0.125,0.5938,9.8123,9.812,9.8123,90.0014,90.0017,89.9984,,
1870,206,80,0.5938,0.1562,0.25,9.3765,9.3761,9.3763,90.0023,90.0029,89.9982,,
1871,194,80,0.125,0.4688,0.4062,6.6429,6.6426,24.5273,90.0041,90.0011,119.9904,,
1872,33,40,0,0.6875,0.3125,5.2955,9.0627,9.6812,89.9977,90.0001,90.0006,,
1873,194,80,0.5,0.2812,0.2188,6.3845,6.3842,24.0038,90.0148,90.0061,119.9971,,
1874,33,40,0,0.25,0.75,5.5382,9.4298,10.0524,89.9992,89.9972,90,,
1875,167,30,0.5833,0.0833,0.3333,5.0881,5.0878,13.7084,89.9916,90.0089,120.0015,,
1876,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
1877,167,60,0,0.25,0.75,10.8972,5.4481,14.4666,89.9988,89.9993,120.0009,,
1878,194,80,0.1875,0.8125,0,6.3228,6.3228,23.9578,90.009,90.0035,119.9968,,
1879,167,30,0.5,0,0.5,5.1951,5.1948,13.9368,89.9928,90.0071,120.0015,,
1880,227,40,0.75,0,0.25,5.9079,5.9077,14.4249,90.03,89.983,120.0024,,
1881,12,20,0.125,0,0.875,12.2804,3.3116,6.7505,90.0002,105.9346,90,,
1882,167,30,0.1667,0.0833,0.75,5.4073,5.4068,14.3834,89.9967,90.0017,120.0012,,
1883,167,30,0.4167,0,0.5833,5.259,5.2586,14.0718,89.9939,90.0057,120.0015,,
1884,227,40,0.1875,0.8125,0,10.1849,5.8288,14.501,95.677,94.5833,30.087,,
1885,227,40,0,0.25,0.75,6.4273,6.4274,15.5252,90.0015,89.9894,119.9927,,
1886,167,30,0.5833,0.0833,0.3333,5.0881,5.0878,13.7084,89.9916,90.0089,120.0015,,
1887,33,80,0.0625,0.6562,0.2812,10.5272,9.0115,9.6308,89.9982,90.0004,90.0007,,
1888,167,30,0.5,0.5,0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,,
1889,12,80,0.2812,0.4062,0.3125,24.5468,6.264,6.1397,89.9999,104.6251,90.0001,,
1890,167,30,0.3333,0.25,0.4167,5.1932,5.1928,13.9265,89.9954,90.0047,120.0011,,
1891,12,80,0.4062,0.4375,0.1562,24.4582,6.141,5.954,89.9997,104.2464,90.0002,,
1892,33,40,0.1875,0,0.8125,5.529,9.4075,10.0338,90.0013,89.9973,90.0004,,
1893,227,40,0.1875,0.5,0.3125,6.1062,6.1038,14.9709,90.0372,88.1656,120.0158,,
1894,227,40,0.8125,0.0625,0.125,9.9424,5.7559,14.1666,90.6856,90.7939,30.2713,,
1895,12,80,0.5312,0.125,0.3438,24.2788,6.2104,6.1209,89.9996,104.7933,90.0001,,
1896,194,80,0.4375,0.375,0.1875,6.3808,6.3806,24.0106,90.0144,90.0044,119.9969,,
1897,227,40,0.5625,0.125,0.3125,10.2374,5.9295,14.5988,90.9038,91.0482,30.3148,,
1898,33,80,0.8438,0.0938,0.0625,9.9193,8.5165,9.147,90.0049,90.0022,90.0012,,
1899,12,80,0.4375,0.25,0.3125,24.3844,6.2195,6.1079,89.9997,104.6791,90.0001,,
1900,33,40,0,0.25,0.75,5.5382,9.4298,10.0524,89.9992,89.9972,90,,
1901,33,80,0,0.875,0.125,10.3831,8.9053,9.5221,89.9969,90.0011,90.0013,,
1902,206,80,0.3125,0.625,0.0625,9.3282,9.3279,9.3277,90.0047,90.0045,89.995,,
1903,227,40,0.4375,0.375,0.1875,5.9567,5.9559,14.2821,90.0049,89.998,119.9987,,
1904,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
1905,33,80,0.0625,0.4688,0.4688,10.7352,9.1688,9.7899,89.9989,89.9992,90.0002,,
1906,167,30,0,0.5833,0.4167,5.2758,5.2752,14.0928,90.0002,89.9996,120.0004,,
1907,167,30,0.0833,0.75,0.1667,5.1255,5.125,13.7709,89.9993,90.0015,120.0002,,
1908,33,80,0.4375,0.5625,0,10.0399,8.626,9.2491,90.0008,90.0022,90.0018,,
1909,167,30,0.5833,0.1667,0.25,5.0449,5.0446,13.6149,89.9915,90.0092,120.0014,,
1910,194,80,0.3125,0.4062,0.2812,6.4898,6.4896,24.2252,90.0111,90.0044,119.994,,
1911,33,80,0.375,0.0625,0.5625,10.6931,9.1229,9.7501,90.0023,89.9994,90.0005,,
1912,227,40,0.625,0.25,0.125,5.8672,5.8667,14.0874,90.0044,89.9966,119.999,,
1913,227,40,0.5625,0.25,0.1875,10.145,5.8396,14.402,94.6552,94.0746,30.1993,,
1914,33,80,0.9062,0.0312,0.0625,9.8901,8.4916,9.1232,90.0055,90.0023,90.0012,,
1915,227,40,0.0625,0.8125,0.125,10.2609,5.9447,14.6531,90.9453,91.1,30.3401,,
1916,12,80,0.75,0.25,0,24.1422,5.9558,5.7236,89.9992,103.9258,90.0002,,
1917,12,80,0.3438,0.3438,0.3125,24.4819,6.2462,6.127,89.9998,104.6466,90.0001,,
1918,227,40,0.875,0.125,0,9.8046,5.6614,13.84,91.7885,91.7567,30.1664,,
1919,227,40,0.5,0.1875,0.3125,10.2921,5.9241,14.6394,95.6783,94.9673,30.2375,,
1920,206,80,0.1875,0.3125,0.5,9.7684,9.7683,9.7683,90.0023,90.0023,89.9972,,
1921,12,20,0.625,0,0.375,12.0865,3.1006,6.134,89.9995,104.9066,90.0002,,
1922,227,40,0.4375,0.4375,0.125,10.1017,5.8503,14.4097,90.8177,90.9496,30.3062,,
1923,167,30,0.75,0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,,
1924,167,30,0.0833,0.25,0.6667,5.3847,5.3842,14.3315,89.9982,90.0005,120.0009,,
1925,167,30,0.1667,0.3333,0.5,5.2777,5.2772,14.1031,89.9976,90.002,120.0008,,
1926,227,40,0.9375,0.0625,0,5.686,5.6858,13.9123,90.0016,90.0001,119.9973,,
1927,33,40,0,0.1875,0.8125,5.5728,9.4822,10.1054,89.9994,89.9967,90,,
1928,206,80,0.5625,0.2812,0.1562,9.3065,9.3061,9.3062,90.003,90.0035,89.9974,,
1929,12,80,0.9375,0.0625,0,23.9475,5.9024,5.6853,89.999,103.9942,90.0003,,
1930,227,40,0.4375,0.1875,0.375,6.0468,6.0469,14.8641,89.9991,89.9968,120.0006,,
1931,206,80,0.5312,0.2812,0.1875,9.3473,9.3469,9.347,90.0029,90.0034,89.9974,,
1932,12,20,0.75,0.25,0,12.0711,2.9779,5.7236,89.9992,103.9258,90.0002,,
1933,12,80,0.4062,0,0.5938,24.3427,6.3858,6.4035,89.9998,105.3761,90.0001,,
1934,206,80,0.6562,0,0.3438,9.4335,9.433,9.4333,90.0014,90.0023,89.9993,,
1935,206,80,0.4062,0.5938,0,9.2335,9.2331,9.2329,90.0048,90.0047,89.9952,,
1936,167,30,0.3333,0.25,0.4167,5.1932,5.1928,13.9265,89.9954,90.0047,120.0011,,
1937,167,60,0.75,0.1667,0.0833,9.8345,4.917,13.3449,89.9883,90.0127,120.0015,,
1938,227,40,0.1875,0.5,0.3125,6.1062,6.1038,14.9709,90.0372,88.1656,120.0158,,
1939,167,30,0.3333,0.6667,0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,,
1940,206,80,0.4688,0.375,0.1562,9.3458,9.3454,9.3454,90.0034,90.0037,89.9967,,
1941,33,80,0.7188,0.0625,0.2188,10.1511,8.6974,9.3273,90.0044,90.0017,90.0009,,
1942,206,80,0.5938,0.1875,0.2188,9.3488,9.3484,9.3485,90.0025,90.0031,89.998,,
1943,206,80,0.3438,0.5312,0.125,9.3705,9.3702,9.37,90.0041,90.0041,89.9956,,
1944,33,80,0.6875,0.1562,0.1562,10.0963,8.6575,9.2862,90.0039,90.0019,90.0011,,
1945,194,80,0.25,0.3438,0.4062,6.6022,6.6019,24.4331,90.0099,90.0034,119.9917,,
1946,33,80,0.7188,0.1875,0.0938,10.0124,8.5926,9.2212,90.0039,90.0021,90.0012,,
1947,167,30,0.0833,0.0833,0.8333,5.4712,5.4707,14.5184,89.9974,90.0005,120.0012,,
1948,33,80,0.875,0.0938,0.0312,9.87,8.4778,9.1086,90.0051,90.0023,90.0013,,
1949,33,80,0.0938,0.0938,0.8125,11.1019,9.4449,10.0696,90.0003,89.997,90.0002,,
1950,227,40,0.8125,0,0.1875,10.0053,5.7928,14.2566,90.7304,90.8457,30.2783,,
1951,33,40,0.875,0.125,0,4.9177,8.4516,9.0821,90.0049,90.0024,90.0014,,
1952,206,80,0,0.6562,0.3438,9.7084,9.7085,9.7082,90.004,90.0035,89.9949,,
1953,206,80,0,0.9375,0.0625,9.4591,9.4591,9.4586,90.0059,90.005,89.9929,,
1954,227,40,0.625,0.375,0,9.8219,5.7031,14.0841,91.0851,91.2585,30.5595,,
1955,194,80,0.125,0.625,0.25,6.5277,6.5276,24.3262,90.0028,90.0034,119.9923,,
1956,227,40,0.375,0.5,0.125,9.8205,5.7631,14.5164,96.9566,98.1763,31.5663,,
1957,194,80,0.5625,0.25,0.1875,6.3421,6.3418,23.9167,90.0152,90.0061,119.9983,,
1958,12,80,0.125,0.5,0.375,24.6928,6.3434,6.2358,90.0001,104.735,90.0001,,
1959,33,80,0,0.5,0.5,10.799,9.22,9.8402,89.9983,89.9989,90.0001,,
1960,194,80,0,0.5938,0.4062,6.6845,6.6842,24.6215,89.9965,89.9997,119.989,,
1961,12,80,0.2188,0.7812,0,24.6943,6.1068,5.8324,89.9999,103.7358,90.0001,,
1962,12,80,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90,104.5208,90.0001,,
1963,167,60,0,0.8333,0.1667,10.2923,5.1456,13.8125,90.0006,90.0001,120,,
1964,227,40,0.6875,0.3125,0,9.908,5.7064,14.0184,92.8796,92.5517,30.141,,
1965,167,30,0.1667,0.0833,0.75,5.4073,5.4068,14.3834,89.9967,90.0017,120.0012,,
1966,206,80,0.4062,0.25,0.3438,9.5382,9.5379,9.538,90.0024,90.0027,89.9976,,
1967,227,40,0.5625,0.1875,0.25,5.9788,5.9774,14.6079,90.0684,88.4691,120.0394,,
1968,33,80,0.1875,0.125,0.6875,10.9194,9.3026,9.9277,90.0009,89.9982,90.0003,,
1969,167,30,0.5833,0,0.4167,5.1313,5.131,13.8018,89.9916,90.0086,120.0016,,
1970,33,80,0.0625,0.0625,0.875,11.1858,9.5098,10.1346,90.0002,89.9965,90.0002,,
1971,194,80,0.1875,0.375,0.4375,6.6456,6.6452,24.5204,90.0078,90.0018,119.9906,,
1972,206,80,0.5625,0.4375,0,9.168,9.1675,9.1675,90.0042,90.0044,89.9963,,
1973,206,80,0,0.6875,0.3125,9.6807,9.6808,9.6804,90.0042,90.0036,89.9946,,
1974,194,10,0.5,0.25,0.25,3.2038,3.2037,12.022,90.0147,90.007,119.9966,,
1975,12,80,0.2812,0.3125,0.4062,24.5221,6.3164,6.236,89.9999,104.8685,90.0001,,
1976,206,80,0.0625,0.0625,0.875,10.1533,10.1533,10.1535,90.0008,90.0008,89.9989,,
1977,194,80,0.25,0.3125,0.4375,6.6253,6.625,24.4733,90.0104,90.0033,119.9913,,
1978,206,80,0,0.5625,0.4375,9.7916,9.7916,9.7914,90.0034,90.003,89.9955,,
1979,227,40,0,0.1875,0.8125,6.4665,6.4666,15.6067,90,89.9902,119.9919,,
1980,12,80,0.0938,0.5625,0.3438,24.7335,6.3348,6.2101,90.0001,104.643,90.0001,,
1981,167,30,0.5833,0.0833,0.3333,5.0881,5.0878,13.7084,89.9916,90.0089,120.0015,,
1982,206,80,0.4688,0.5312,0,9.2073,9.2069,9.2068,90.0045,90.0046,89.9956,,
1983,33,80,0.1875,0.5625,0.25,10.4341,8.9355,9.5566,89.9993,90.0008,90.0008,,
1984,167,30,0.75,0,0.25,5.0036,5.0034,13.5318,89.9888,90.0119,120.0017,,
1985,194,80,0.4062,0.5938,0,6.252,6.252,23.7931,90.0172,89.9994,119.9997,,
1986,206,80,0.4375,0,0.5625,9.7191,9.7187,9.7191,90.0009,90.0016,89.9993,,
1987,206,80,0.1562,0.8438,0,9.3382,9.3381,9.3376,90.0058,90.0051,89.9935,,
1988,194,80,0.5,0.4375,0.0625,6.2688,6.2686,23.8029,90.0171,90.0009,119.9997,,
1989,33,40,0.125,0,0.875,5.5783,9.4849,10.1107,90.0008,89.9967,90.0004,,
1990,167,30,0.4167,0.1667,0.4167,5.1726,5.1722,13.8849,89.9941,90.006,120.0012,,
1991,194,80,0.3125,0.5,0.1875,6.4205,6.4203,24.1047,90.0113,90.0036,119.9954,,
1992,167,30,0.5,0.5,0,4.936,4.9356,13.3762,89.9923,90.0089,120.0009,,
1993,206,80,0.0312,0.0312,0.9375,10.2218,10.2218,10.2221,90.0006,90.0006,89.9992,,
1994,33,80,0.3125,0.4062,0.2812,10.4103,8.9118,9.5354,90.0007,90.0008,90.0008,,
1995,206,80,0,0.1875,0.8125,10.1241,10.1241,10.1242,90.0013,90.0012,89.9981,,
1996,194,80,0.4375,0.25,0.3125,6.4734,6.4731,24.1714,90.014,90.0071,119.9949,,
1997,33,40,0,0.375,0.625,5.4688,9.3249,9.9463,89.9988,89.998,90,,
1998,33,80,0.3438,0.1875,0.4688,10.6037,9.0567,9.6825,90.0017,89.9999,90.0005,,
1999,227,40,0.5625,0.125,0.3125,9.8958,5.8174,14.5954,98.3259,99.8004,31.7301,,
2000,12,80,0.2188,0.0938,0.6875,24.5128,6.4916,6.5381,90.0001,105.5367,90.0001,,
2001,12,80,0.3125,0.375,0.3125,24.5144,6.2551,6.1334,89.9999,104.6359,90.0001,,
2002,206,80,0,0.4375,0.5625,9.9024,9.9024,9.9023,90.0027,90.0023,89.9964,,
2003,227,40,0.0625,0.125,0.8125,6.4494,6.4494,15.5693,89.9993,89.9909,119.9919,,
2004,227,40,0.5,0.4375,0.0625,10.1177,5.8283,14.2074,91.3094,91.4994,29.777,,
2005,167,30,0.5,0.3333,0.1667,5.0223,5.022,13.5631,89.9927,90.0082,120.0011,,
2006,12,20,0.875,0,0.125,11.9897,2.9951,5.8262,89.9991,104.3267,90.0002,,
2007,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
2008,33,80,0.8438,0.0625,0.0938,9.954,8.5427,9.1735,90.0051,90.0022,90.0011,,
2009,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
2010,12,80,0,0.8438,0.1562,24.8804,6.2565,6.037,90.0002,104.1052,90.0001,,
2011,167,30,0,0.8333,0.1667,5.1462,5.1456,13.8125,90.0006,90.0001,120,,
2012,227,40,0.4375,0.5625,0,10.0109,5.7947,14.0043,90.6895,90.7985,30.2545,,
2013,194,80,0.3438,0.6562,0,6.2719,6.2719,23.8401,90.0156,90.0003,119.9989,,
2014,227,40,0.75,0,0.25,10.0042,5.8035,14.1337,84.2297,83.2797,30.8756,,
2015,194,80,0.3125,0.6875,0,6.282,6.282,23.8637,90.0145,90.0009,119.9984,,
2016,227,40,0.875,0,0.125,5.8004,5.8001,13.9365,90.0048,89.9942,119.9996,,
2017,227,40,0.25,0.4375,0.3125,10.0078,5.8906,14.7054,96.8288,98.047,31.8421,,
2018,227,40,0.75,0.125,0.125,9.6869,5.6757,14.3848,98.792,100.3198,31.4219,,
2019,33,80,0.2812,0.1875,0.5312,10.7022,9.1341,9.7594,90.0013,89.9994,90.0004,,
2020,227,40,0.875,0,0.125,9.9158,5.7402,14.1261,90.6631,90.7674,30.2654,,
2021,33,40,0,0.875,0.125,5.1916,8.9053,9.5221,89.9969,90.0011,90.0013,,
2022,206,80,0.7188,0.2812,0,9.1025,9.1019,9.1021,90.0035,90.0041,89.9974,,
2023,194,80,0,0.75,0.25,6.5694,6.5693,24.4204,89.9948,90.0039,119.9908,,
2024,33,80,0.3438,0.4062,0.25,10.361,8.8732,9.4969,90.0009,90.001,90.0009,,
2025,33,40,0,0.75,0.25,5.2609,9.0102,9.6281,89.9974,90.0004,90.0008,,
2026,227,40,0.4375,0.1875,0.375,9.8929,5.7466,14.2053,91.1993,91.392,30.5998,,
2027,194,80,0.375,0.3438,0.2812,6.4699,6.4696,24.1782,90.0128,90.0053,119.9947,,
2028,167,30,0.1667,0.1667,0.6667,5.3641,5.3636,14.29,89.997,90.0018,120.0011,,
2029,33,40,0.375,0,0.625,5.3812,9.1754,9.8031,90.0025,89.9991,90.0005,,
2030,33,40,0,0.375,0.625,5.4688,9.3249,9.9463,89.9988,89.998,90,,
2031,194,10,0.5,0.5,0,3.1113,3.1112,11.8613,90.0187,89.9985,120.0009,,
2032,12,80,0.375,0.5,0.125,24.4989,6.1324,5.9283,89.9997,104.1484,90.0001,,
2033,167,30,0.0833,0.0833,0.8333,5.4712,5.4707,14.5184,89.9974,90.0005,120.0012,,
2034,206,80,0,0.1562,0.8438,10.1518,10.1518,10.152,90.0012,90.001,89.9983,,
2035,194,80,0,0.0312,0.9688,7.0991,7.0984,25.346,90.0186,89.9791,119.9841,,
2036,33,80,0.125,0.875,0,10.1861,8.7506,9.3683,89.9976,90.0019,90.002,,
2037,12,80,0.4375,0.2812,0.2812,24.3927,6.202,6.0758,89.9997,104.5965,90.0001,,
2038,167,30,0.4167,0.5833,0,4.9566,4.9562,13.4178,89.9938,90.0075,120.0007,,
2039,206,80,0.1875,0.2188,0.5938,9.8515,9.8514,9.8515,90.0018,90.0019,89.9978,,
2040,194,80,0.5938,0.0625,0.3438,6.4484,6.448,24.0941,90.0147,90.0124,119.9961,,
2041,12,80,0.25,0.5,0.25,24.5958,6.2379,6.082,89.9999,104.4479,90.0001,,
2042,206,80,0.4688,0.375,0.1562,9.3458,9.3454,9.3454,90.0034,90.0037,89.9967,,
2043,206,80,0.4375,0.5625,0,9.2204,9.22,9.2199,90.0047,90.0046,89.9954,,
2044,33,80,0.9062,0.0312,0.0625,9.8901,8.4916,9.1232,90.0055,90.0023,90.0012,,
2045,206,80,0.5312,0.2812,0.1875,9.3473,9.3469,9.347,90.0029,90.0034,89.9974,,
2046,33,40,0,0.25,0.75,5.5382,9.4298,10.0524,89.9992,89.9972,90,,
2047,167,30,0.3333,0.6667,0,4.9772,4.9768,13.4593,89.9952,90.0061,120.0005,,
2048,206,80,0.875,0.125,0,9.0371,9.0364,9.0366,90.0029,90.0038,89.9985,,
2049,206,80,0,0.1562,0.8438,10.1518,10.1518,10.152,90.0012,90.001,89.9983,,
2050,227,40,0.75,0.25,0,9.8735,5.6914,13.9587,92.5185,92.2888,30.1492,,
2051,206,80,0.75,0.25,0,9.0894,9.0888,9.089,90.0034,90.0041,89.9976,,
2052,206,80,0.0312,0.0625,0.9062,10.1941,10.1941,10.1943,90.0007,90.0007,89.9989,,
2053,194,80,0.9062,0.0625,0.0312,6.1239,6.1235,23.4577,90.0089,90.003,120.0051,,
2054,167,30,0.5833,0.25,0.1667,5.0017,5.0014,13.5215,89.9914,90.0095,120.0013,,
2055,194,80,0.5625,0.1875,0.25,6.3884,6.3881,23.997,90.0148,90.0084,119.9972,,
2056,12,20,0.75,0,0.25,12.0381,3.0478,5.9801,89.9993,104.6228,90.0002,,
2057,167,30,0.1667,0.4167,0.4167,5.2345,5.234,14.0096,89.9978,90.0022,120.0007,,
2058,33,80,0.5312,0.3125,0.1562,10.1694,8.7197,9.3458,90.0024,90.0017,90.0011,,
2059,206,80,0,0.625,0.375,9.7361,9.7362,9.7359,90.0038,90.0033,89.9951,,
2060,12,80,0.2812,0.3125,0.4062,24.5221,6.3164,6.236,89.9999,104.8685,90.0001,,
2061,206,80,0.625,0,0.375,9.4743,9.4738,9.4741,90.0013,90.0022,89.9993,,
2062,206,80,0.5,0.5,0,9.1942,9.1938,9.1937,90.0044,90.0045,89.9959,,
2063,33,40,0.9375,0.0625,0,4.9031,8.4267,9.0582,90.0055,90.0024,90.0013,,
2064,194,80,0.4062,0.25,0.3438,6.5063,6.506,24.2351,90.0137,90.0068,119.9942,,
2065,12,80,0.2812,0.3125,0.4062,24.5221,6.3164,6.236,89.9999,104.8685,90.0001,,
2066,12,20,0.875,0,0.125,11.9897,2.9951,5.8262,89.9991,104.3267,90.0002,,
2067,167,30,0.75,0.1667,0.0833,4.9172,4.917,13.3449,89.9883,90.0127,120.0015,,
2068,206,80,0.4062,0.5938,0,9.2335,9.2331,9.2329,90.0048,90.0047,89.9952,,
2069,206,80,0.4688,0.375,0.1562,9.3458,9.3454,9.3454,90.0034,90.0037,89.9967,,
2070,206,80,0.75,0,0.25,9.3111,9.3105,9.3108,90.0016,90.0026,89.9993,,
2071,227,40,0.625,0.375,0,9.8961,5.7293,14.1081,90.6626,90.7688,30.275,,
2072,227,40,0.1875,0.1875,0.625,6.3129,6.312,14.7652,90.0155,90.0073,120.0012,,
2073,206,80,0.2188,0.0625,0.7188,9.9493,9.9491,9.9494,90.0009,90.0012,89.9989,,
2074,206,80,0.125,0,0.875,10.1271,10.127,10.1273,90.0005,90.0007,89.9993,,
2075,227,40,0.25,0.625,0.125,10.2624,5.8824,14.6173,96.0146,94.9815,30.1406,,
2076,227,40,0.8125,0.1875,0,9.751,5.6595,13.963,90.9688,91.1228,30.5185,,
2077,206,80,0.5312,0.1562,0.3125,9.4581,9.4577,9.4579,90.0021,90.0027,89.9982,,
2078,167,30,0,0.75,0.25,5.1894,5.1888,13.9059,90.0005,89.9999,120.0001,,
2079,12,80,0.2188,0.5,0.2812,24.62,6.2643,6.1204,90,104.5208,90.0001,,
2080,206,80,0.4062,0.4688,0.125,9.3443,9.344,9.3439,90.0039,90.0039,89.9961,,
2081,167,30,0.5833,0.4167,0,4.9153,4.915,13.3346,89.9909,90.0103,120.0011,,
2082,227,40,0.75,0,0.25,10.1064,5.8488,14.2323,88.3398,88.0867,30.2409,,
2083,33,80,0.8438,0.0938,0.0625,9.9193,8.5165,9.147,90.0049,90.0022,90.0012,,
2084,194,80,0,0.7812,0.2188,6.5464,6.5463,24.3802,89.9947,90.0047,119.9912,,
2085,167,30,0.6667,0.1667,0.1667,4.9811,4.9808,13.4799,89.99,90.0109,120.0014,,
2086,12,80,0.375,0.2188,0.4062,24.4246,6.2898,6.217,89.9998,104.9005,90.0001,,
2087,206,80,0.3125,0.6875,0,9.2727,9.2725,9.2722,90.0052,90.0048,89.9946,,
2088,33,80,0.4375,0.4688,0.0938,10.1439,8.7047,9.3286,90.0012,90.0018,90.0014,,
2089,12,20,0,0.5,0.5,12.3949,3.2244,6.3896,90.0003,105.0105,90,,
2090,33,80,0.1875,0.0938,0.7188,10.954,9.3288,9.9543,90.001,89.998,90.0003,,
2091,227,40,0.1875,0.5,0.3125,6.1012,6.1014,14.8424,90.0105,89.9849,119.9987,,
2092,194,80,0.6562,0.0312,0.3125,6.4063,6.4059,24.007,90.0139,90.0135,119.9972,,
2093,206,80,0.5,0,0.5,9.6375,9.6371,9.6374,90.001,90.0018,89.9993,,
2094,227,40,0.125,0.5625,0.3125,10.4233,6.0396,14.8827,91.0488,91.2192,30.3538,,
2095,194,80,0.875,0.0625,0.0625,6.1561,6.1557,23.5213,90.0097,90.005,120.0041,,
2096,194,80,0.5,0.0625,0.4375,6.5466,6.5461,24.2852,90.0157,90.0113,119.9938,,
2097,12,80,0,0.7812,0.2188,24.8639,6.2915,6.101,90.0002,104.2773,90.0001,,
2098,206,80,0.5312,0.3125,0.1562,9.3196,9.3192,9.3192,90.0032,90.0035,89.9971,,
2099,206,80,0.0625,0.0938,0.8438,10.1256,10.1256,10.1258,90.0009,90.0009,89.9987,,
2100,167,60,0,0.25,0.75,10.8972,5.4481,14.4666,89.9988,89.9993,120.0009,,
2101,227,40,0.8125,0,0.1875,10.0065,5.7786,14.1615,93.257,93.0611,30.2331,,
2102,33,80,0.5625,0.25,0.1875,10.1894,8.7335,9.3604,90.0028,90.0016,90.001,,
2103,206,80,0,0.375,0.625,9.9578,9.9578,9.9578,90.0023,90.002,89.9968,,
2104,33,80,0.875,0,0.125,9.974,8.5565,9.1881,90.0055,90.0021,90.001,,
2105,12,20,0.25,0.75,0,12.3309,3.049,5.826,89.9998,103.7468,90.0001,,
