"","x"
"1625","Jazz"
"1626","Classical"
"1627","Blues"
"1628","Blues"
"1629","Pop"
"1630","Jazz"
"1631","Pop"
"1632","Classical"
"1633","Classical"
"1634","Classical"
"1635","Rock"
"1636","Blues"
"1637","Rock"
"1638","Classical"
"1639","Classical"
"1640","Pop"
"1641","Blues"
"1642","Classical"
"1643","Classical"
"1644","Jazz"
"1645","Metal"
"1646","Pop"
"1647","Classical"
"1648","Pop"
"1649","Pop"
"1650","Blues"
"1651","Classical"
"1652","Jazz"
"1653","Metal"
"1654","Rock"
"1655","Classical"
"1656","Classical"
"1657","Jazz"
"1658","Classical"
"1659","Blues"
"1660","Jazz"
"1661","Metal"
"1662","Jazz"
"1663","Pop"
"1664","Blues"
"1665","Classical"
"1666","Rock"
"1667","Classical"
"1668","Classical"
"1669","Classical"
"1670","Pop"
"1671","Rock"
"1672","Pop"
"1673","Classical"
"1674","Rock"
"1675","Jazz"
"1676","Jazz"
"1677","Classical"
"1678","Rock"
"1679","Classical"
"1680","Classical"
"1681","Jazz"
"1682","Classical"
"1683","Classical"
"1684","Classical"
"1685","Metal"
"1686","Jazz"
"1687","Rock"
"1688","Rock"
"1689","Jazz"
"1690","Classical"
"1691","Classical"
"1692","Jazz"
"1693","Rock"
"1694","Blues"
"1695","Pop"
"1696","Classical"
"1697","Classical"
"1698","Classical"
"1699","Pop"
"1700","Classical"
"1701","Pop"
"1702","Rock"
"1703","Rock"
"1704","Classical"
"1705","Classical"
"1706","Jazz"
"1707","Pop"
"1708","Jazz"
"1709","Rock"
"1710","Jazz"
"1711","Blues"
"1712","Classical"
"1713","Rock"
"1714","Classical"
"1715","Blues"
"1716","Blues"
"1717","Blues"
"1718","Jazz"
"1719","Jazz"
"1720","Rock"
"1721","Classical"
"1722","Pop"
"1723","Classical"
"1724","Pop"
"1725","Classical"
"1726","Classical"
"1727","Jazz"
"1728","Rock"
"1729","Jazz"
"1730","Classical"
"1731","Jazz"
"1732","Classical"
"1733","Metal"
"1734","Classical"
"1735","Rock"
"1736","Classical"
"1737","Jazz"
"1738","Jazz"
"1739","Jazz"
"1740","Pop"
"1741","Pop"
"1742","Classical"
"1743","Jazz"
"1744","Classical"
"1745","Blues"
"1746","Classical"
"1747","Blues"
"1748","Blues"
"1749","Jazz"
"1750","Classical"
"1751","Classical"
"1752","Pop"
"1753","Classical"
"1754","Jazz"
"1755","Jazz"
"1756","Pop"
"1757","Rock"
"1758","Rock"
"1759","Classical"
"1760","Rock"
"1761","Jazz"
"1762","Metal"
"1763","Blues"
"1764","Classical"
"1765","Rock"
"1766","Classical"
"1767","Classical"
"1768","Classical"
"1769","Rock"
"1770","Jazz"
"1771","Jazz"
"1772","Classical"
"1773","Jazz"
"1774","Pop"
"1775","Jazz"
"1776","Classical"
"1777","Rock"
"1778","Rock"
"1779","Pop"
"1780","Metal"
"1781","Blues"
"1782","Rock"
"1783","Classical"
"1784","Classical"
"1785","Classical"
"1786","Classical"
"1787","Blues"
"1788","Metal"
"1789","Rock"
"1790","Classical"
"1791","Classical"
"1792","Classical"
"1793","Jazz"
"1794","Blues"
"1795","Classical"
"1796","Rock"
"1797","Pop"
"1798","Pop"
"1799","Blues"
"1800","Rock"
"1801","Classical"
"1802","Classical"
"1803","Metal"
"1804","Pop"
"1805","Classical"
"1806","Jazz"
"1807","Pop"
"1808","Jazz"
"1809","Pop"
"1810","Rock"
"1811","Jazz"
"1812","Classical"
"1813","Blues"
"1814","Jazz"
"1815","Jazz"
"1816","Classical"
"1817","Jazz"
"1818","Classical"
"1819","Jazz"
"1820","Classical"
"1821","Metal"
"1822","Rock"
"1823","Jazz"
"1824","Classical"
"1825","Jazz"
"1826","Rock"
"1827","Pop"
"1828","Classical"
"1829","Jazz"
"1830","Rock"
"1831","Classical"
"1832","Jazz"
"1833","Classical"
"1834","Jazz"
"1835","Pop"
"1836","Jazz"
"1837","Pop"
"1838","Jazz"
"1839","Classical"
"1840","Blues"
"1841","Classical"
"1842","Classical"
"1843","Blues"
"1844","Blues"
"1845","Jazz"
"1846","Rock"
"1847","Rock"
"1848","Rock"
"1849","Metal"
"1850","Classical"
"1851","Jazz"
"1852","Jazz"
"1853","Classical"
"1854","Rock"
"1855","Rock"
"1856","Rock"
"1857","Metal"
"1858","Blues"
"1859","Pop"
"1860","Classical"
"1861","Classical"
"1862","Jazz"
"1863","Rock"
"1864","Jazz"
"1865","Classical"
"1866","Classical"
"1867","Blues"
"1868","Classical"
"1869","Pop"
"1870","Rock"
"1871","Rock"
"1872","Classical"
"1873","Metal"
"1874","Classical"
"1875","Rock"
"1876","Pop"
"1877","Rock"
"1878","Classical"
"1879","Classical"
"1880","Pop"
"1881","Jazz"
"1882","Pop"
"1883","Jazz"
"1884","Classical"
"1885","Classical"
"1886","Rock"
"1887","Classical"
"1888","Rock"
"1889","Metal"
"1890","Metal"
"1891","Metal"
"1892","Metal"
"1893","Rock"
"1894","Classical"
"1895","Blues"
"1896","Classical"
"1897","Jazz"
"1898","Classical"
"1899","Jazz"
"1900","Classical"
"1901","Pop"
"1902","Blues"
"1903","Jazz"
"1904","Metal"
"1905","Rock"
"1906","Jazz"
"1907","Blues"
"1908","Classical"
"1909","Blues"
"1910","Blues"
"1911","Pop"
"1912","Rock"
"1913","Classical"
"1914","Blues"
"1915","Jazz"
"1916","Jazz"
"1917","Jazz"
"1918","Pop"
"1919","Blues"
"1920","Pop"
"1921","Rock"
"1922","Pop"
"1923","Classical"
"1924","Pop"
"1925","Jazz"
"1926","Rock"
"1927","Classical"
"1928","Jazz"
"1929","Jazz"
"1930","Jazz"
"1931","Jazz"
"1932","Pop"
"1933","Metal"
"1934","Blues"
"1935","Jazz"
"1936","Jazz"
"1937","Rock"
"1938","Rock"
"1939","Jazz"
"1940","Classical"
"1941","Classical"
"1942","Metal"
"1943","Jazz"
"1944","Classical"
"1945","Pop"
"1946","Pop"
"1947","Jazz"
"1948","Classical"
"1949","Metal"
"1950","Classical"
"1951","Classical"
"1952","Classical"
"1953","Pop"
"1954","Classical"
"1955","Metal"
"1956","Jazz"
"1957","Jazz"
"1958","Metal"
"1959","Classical"
"1960","Jazz"
"1961","Rock"
"1962","Jazz"
"1963","Jazz"
"1964","Rock"
"1965","Blues"
"1966","Classical"
"1967","Classical"
"1968","Jazz"
"1969","Jazz"
"1970","Jazz"
"1971","Pop"
"1972","Blues"
"1973","Blues"
"1974","Classical"
"1975","Rock"
"1976","Classical"
"1977","Jazz"
"1978","Pop"
"1979","Classical"
"1980","Blues"
"1981","Blues"
"1982","Rock"
"1983","Pop"
"1984","Classical"
"1985","Jazz"
"1986","Jazz"
"1987","Classical"
"1988","Jazz"
"1989","Classical"
"1990","Classical"
"1991","Classical"
"1992","Pop"
"1993","Classical"
"1994","Rock"
"1995","Classical"
"1996","Pop"
"1997","Jazz"
"1998","Classical"
"1999","Blues"
"2000","Metal"
"2001","Jazz"
"2002","Blues"
"2003","Pop"
"2004","Classical"
"2005","Classical"
"2006","Classical"
"2007","Classical"
"2008","Classical"
"2009","Jazz"
"2010","Pop"
"2011","Jazz"
"2012","Classical"
"2013","Pop"
"2014","Classical"
"2015","Classical"
"2016","Pop"
"2017","Metal"
"2018","Jazz"
"2019","Rock"
"2020","Classical"
"2021","Jazz"
"2022","Jazz"
"2023","Jazz"
"2024","Jazz"
"2025","Jazz"
"2026","Classical"
"2027","Classical"
"2028","Metal"
"2029","Blues"
"2030","Blues"
"2031","Rock"
"2032","Blues"
"2033","Rock"
"2034","Jazz"
"2035","Classical"
"2036","Classical"
"2037","Pop"
"2038","Rock"
"2039","Classical"
"2040","Jazz"
"2041","Metal"
"2042","Jazz"
"2043","Classical"
"2044","Blues"
"2045","Jazz"
"2046","Jazz"
"2047","Classical"
"2048","Blues"
"2049","Pop"
"2050","Classical"
"2051","Jazz"
"2052","Jazz"
"2053","Blues"
"2054","Classical"
"2055","Jazz"
"2056","Pop"
"2057","Pop"
"2058","Pop"
"2059","Rock"
"2060","Classical"
"2061","Classical"
"2062","Blues"
"2063","Metal"
"2064","Classical"
"2065","Metal"
"2066","Rock"
"2067","Pop"
"2068","Jazz"
"2069","Rock"
"2070","Classical"
"2071","Jazz"
"2072","Blues"
"2073","Classical"
"2074","Jazz"
"2075","Blues"
"2076","Blues"
"2077","Jazz"
"2078","Rock"
"2079","Classical"
"2080","Classical"
"2081","Pop"
"2082","Classical"
"2083","Classical"
"2084","Metal"
"2085","Rock"
"2086","Blues"
"2087","Classical"
"2088","Rock"
"2089","Jazz"
"2090","Jazz"
"2091","Pop"
"2092","Jazz"
"2093","Rock"
"2094","Classical"
"2095","Jazz"
"2096","Rock"
"2097","Classical"
"2098","Pop"
"2099","Pop"
"2100","Jazz"
"2101","Jazz"
"2102","Blues"
"2103","Jazz"
"2104","Pop"
"2105","Blues"
"2106","Jazz"
"2107","Jazz"
"2108","Jazz"
"2109","Metal"
"2110","Classical"
"2111","Classical"
"2112","Jazz"
"2113","Jazz"
"2114","Rock"
"2115","Classical"
"2116","Jazz"
"2117","Pop"
"2118","Blues"
"2119","Jazz"
"2120","Classical"
"2121","Pop"
"2122","Blues"
"2123","Classical"
"2124","Classical"
"2125","Blues"
"2126","Classical"
"2127","Blues"
"2128","Classical"
"2129","Pop"
"2130","Jazz"
"2131","Jazz"
"2132","Jazz"
"2133","Pop"
"2134","Jazz"
"2135","Metal"
"2136","Rock"
"2137","Classical"
"2138","Pop"
"2139","Jazz"
"2140","Jazz"
"2141","Blues"
"2142","Pop"
"2143","Pop"
"2144","Rock"
"2145","Blues"
"2146","Metal"
"2147","Classical"
"2148","Pop"
"2149","Classical"
"2150","Jazz"
"2151","Classical"
"2152","Classical"
"2153","Pop"
"2154","Rock"
"2155","Classical"
"2156","Rock"
"2157","Rock"
"2158","Blues"
"2159","Jazz"
"2160","Jazz"
"2161","Jazz"
"2162","Pop"
"2163","Jazz"
"2164","Pop"
"2165","Blues"
"2166","Pop"
"2167","Rock"
"2168","Rock"
"2169","Jazz"
"2170","Classical"
"2171","Classical"
"2172","Rock"
"2173","Pop"
"2174","Jazz"
"2175","Classical"
"2176","Jazz"
"2177","Jazz"
"2178","Rock"
"2179","Classical"
"2180","Classical"
"2181","Classical"
"2182","Blues"
"2183","Blues"
"2184","Classical"
"2185","Classical"
"2186","Rock"
"2187","Metal"
"2188","Pop"
"2189","Classical"
"2190","Classical"
"2191","Classical"
"2192","Classical"
"2193","Classical"
"2194","Blues"
"2195","Classical"
"2196","Blues"
"2197","Classical"
"2198","Rock"
"2199","Blues"
"2200","Jazz"
"2201","Jazz"
"2202","Classical"
"2203","Classical"
"2204","Blues"
"2205","Classical"
"2206","Jazz"
"2207","Classical"
"2208","Pop"
"2209","Rock"
"2210","Rock"
"2211","Rock"
"2212","Pop"
"2213","Blues"
"2214","Blues"
"2215","Metal"
"2216","Classical"
"2217","Classical"
"2218","Classical"
"2219","Blues"
"2220","Classical"
"2221","Pop"
"2222","Blues"
"2223","Metal"
"2224","Rock"
"2225","Metal"
"2226","Metal"
"2227","Rock"
"2228","Pop"
"2229","Pop"
"2230","Rock"
"2231","Rock"
"2232","Classical"
"2233","Classical"
"2234","Metal"
"2235","Jazz"
"2236","Rock"
"2237","Classical"
"2238","Jazz"
"2239","Pop"
"2240","Blues"
"2241","Classical"
"2242","Blues"
"2243","Classical"
"2244","Metal"
"2245","Classical"
"2246","Blues"
"2247","Classical"
"2248","Jazz"
"2249","Blues"
"2250","Jazz"
"2251","Rock"
"2252","Jazz"
"2253","Jazz"
"2254","Pop"
"2255","Metal"
"2256","Blues"
"2257","Jazz"
"2258","Rock"
"2259","Pop"
"2260","Classical"
"2261","Jazz"
"2262","Classical"
"2263","Classical"
"2264","Classical"
"2265","Pop"
"2266","Metal"
"2267","Classical"
"2268","Rock"
"2269","Classical"
"2270","Classical"
"2271","Classical"
"2272","Blues"
"2273","Rock"
"2274","Classical"
"2275","Classical"
"2276","Pop"
"2277","Blues"
"2278","Jazz"
"2279","Jazz"
"2280","Rock"
"2281","Jazz"
"2282","Pop"
"2283","Rock"
"2284","Rock"
"2285","Classical"
"2286","Pop"
"2287","Rock"
"2288","Classical"
"2289","Pop"
"2290","Metal"
"2291","Rock"
"2292","Classical"
"2293","Pop"
"2294","Blues"
"2295","Classical"
"2296","Blues"
"2297","Jazz"
"2298","Pop"
"2299","Classical"
"2300","Jazz"
"2301","Jazz"
"2302","Classical"
"2303","Blues"
"2304","Rock"
"2305","Blues"
"2306","Rock"
"2307","Jazz"
"2308","Rock"
"2309","Blues"
"2310","Pop"
"2311","Jazz"
"2312","Jazz"
"2313","Classical"
"2314","Classical"
"2315","Classical"
"2316","Classical"
"2317","Blues"
"2318","Classical"
"2319","Rock"
"2320","Blues"
"2321","Jazz"
"2322","Classical"
"2323","Jazz"
"2324","Classical"
"2325","Classical"
"2326","Classical"
"2327","Classical"
"2328","Classical"
"2329","Rock"
"2330","Classical"
"2331","Jazz"
"2332","Classical"
"2333","Blues"
"2334","Jazz"
"2335","Jazz"
"2336","Rock"
"2337","Blues"
"2338","Jazz"
"2339","Blues"
"2340","Rock"
"2341","Metal"
"2342","Jazz"
"2343","Pop"
"2344","Classical"
"2345","Classical"
"2346","Metal"
"2347","Classical"
"2348","Jazz"
"2349","Pop"
"2350","Rock"
"2351","Jazz"
"2352","Jazz"
"2353","Rock"
"2354","Blues"
"2355","Classical"
"2356","Rock"
"2357","Jazz"
"2358","Blues"
"2359","Rock"
"2360","Classical"
"2361","Blues"
"2362","Classical"
"2363","Jazz"
"2364","Jazz"
"2365","Pop"
"2366","Jazz"
"2367","Jazz"
"2368","Classical"
"2369","Jazz"
"2370","Rock"
"2371","Blues"
"2372","Jazz"
"2373","Jazz"
"2374","Blues"
"2375","Rock"
"2376","Blues"
"2377","Rock"
"2378","Classical"
"2379","Classical"
"2380","Classical"
"2381","Classical"
"2382","Blues"
"2383","Classical"
"2384","Blues"
"2385","Classical"
"2386","Blues"
"2387","Blues"
"2388","Pop"
"2389","Classical"
"2390","Rock"
"2391","Rock"
"2392","Pop"
"2393","Classical"
"2394","Pop"
"2395","Metal"
"2396","Pop"
"2397","Rock"
"2398","Classical"
"2399","Classical"
"2400","Metal"
"2401","Pop"
"2402","Blues"
"2403","Blues"
"2404","Jazz"
"2405","Rock"
"2406","Classical"
"2407","Jazz"
"2408","Classical"
"2409","Jazz"
"2410","Blues"
"2411","Classical"
"2412","Blues"
"2413","Classical"
"2414","Rock"
"2415","Pop"
"2416","Classical"
"2417","Classical"
"2418","Classical"
"2419","Pop"
"2420","Jazz"
"2421","Classical"
"2422","Metal"
"2423","Classical"
"2424","Classical"
"2425","Classical"
"2426","Classical"
"2427","Jazz"
"2428","Classical"
"2429","Jazz"
"2430","Rock"
"2431","Blues"
"2432","Jazz"
"2433","Jazz"
"2434","Jazz"
"2435","Pop"
"2436","Rock"
"2437","Classical"
"2438","Blues"
"2439","Classical"
"2440","Jazz"
"2441","Jazz"
"2442","Pop"
"2443","Pop"
"2444","Classical"
"2445","Classical"
"2446","Rock"
"2447","Classical"
"2448","Blues"
"2449","Metal"
"2450","Pop"
"2451","Rock"
"2452","Classical"
"2453","Classical"
"2454","Jazz"
"2455","Classical"
"2456","Jazz"
"2457","Pop"
"2458","Classical"
"2459","Rock"
"2460","Pop"
"2461","Blues"
"2462","Classical"
"2463","Jazz"
"2464","Classical"
"2465","Pop"
"2466","Blues"
"2467","Blues"
"2468","Jazz"
"2469","Blues"
"2470","Classical"
"2471","Pop"
"2472","Jazz"
"2473","Rock"
"2474","Rock"
"2475","Jazz"
"2476","Classical"
"2477","Rock"
"2478","Metal"
"2479","Jazz"
"2480","Jazz"
"2481","Metal"
"2482","Pop"
"2483","Rock"
"2484","Jazz"
"2485","Pop"
"2486","Classical"
"2487","Blues"
"2488","Rock"
"2489","Classical"
"2490","Jazz"
"2491","Classical"
"2492","Pop"
"2493","Rock"
"2494","Rock"
"2495","Blues"
